10
100001 128492 123456 3.5 04/15/2022 05/12/2022 normal y
100002 103932 456789 3.5 04/15/2022 04/25/2022 normal n
100003 194857 900900 4.0 04/15/2022 04/25/2022 normal n
100004 103932 449812 4.0 04/12/2022 04/22/2022 overdue n
100005 103932 455000 3.5 04/15/2022 05/02/2022 normal y
100006 102942 463555 1.5 04/07/2022 04/21/2022 overdue n
100007 121029 539888 2.5 04/09/2022 04/22/2022 overdue n
100008 103932 543929 3.0 04/15/2022 04/25/2022 normal n
100009 103932 385529 3.0 04/15/2022 04/25/2022 normal n
100010 102942 891029 3.5 04/15/2022 04/25/2022 normal n
